1,2,66,62,26,17,-1,-1,-1
1,384,653,344,55,50,-1,-1,-1
2,2,66,62,26,18,-1,-1,-1
2,384,653,344,55,50,-1,-1,-1
3,2,66,61,26,19,-1,-1,-1
3,384,653,344,55,49,-1,-1,-1
4,2,67,60,27,20,-1,-1,-1
4,384,653,344,54,49,-1,-1,-1
5,2,67,60,27,21,-1,-1,-1
5,384,653,344,54,49,-1,-1,-1
6,2,67,59,28,22,-1,-1,-1
6,384,653,344,54,49,-1,-1,-1
7,2,68,59,28,22,-1,-1,-1
7,384,653,344,54,49,-1,-1,-1
8,2,68,59,28,22,-1,-1,-1
8,384,653,344,54,49,-1,-1,-1
9,2,69,60,28,22,-1,-1,-1
9,384,653,344,54,48,-1,-1,-1
10,2,71,60,27,22,-1,-1,-1
10,384,653,344,54,48,-1,-1,-1
11,2,71,61,26,21,-1,-1,-1
11,384,653,344,54,48,-1,-1,-1
12,2,72,61,27,20,-1,-1,-1
12,384,653,344,54,48,-1,-1,-1
13,2,71,62,27,19,-1,-1,-1
13,384,653,344,54,48,-1,-1,-1
14,2,72,62,27,19,-1,-1,-1
14,384,653,344,54,48,-1,-1,-1
15,2,71,62,26,18,-1,-1,-1
15,384,653,344,54,48,-1,-1,-1
16,2,71,63,25,16,-1,-1,-1
16,384,653,344,54,48,-1,-1,-1
17,2,71,63,23,15,-1,-1,-1
17,384,653,344,54,48,-1,-1,-1
18,2,71,64,21,14,-1,-1,-1
18,384,653,344,54,48,-1,-1,-1
19,2,72,65,21,13,-1,-1,-1
19,384,653,344,54,48,-1,-1,-1
20,2,73,67,20,12,-1,-1,-1
20,384,653,344,54,48,-1,-1,-1
21,1,108,81,23,13,-1,-1,-1
21,2,74,68,20,11,-1,-1,-1
21,384,653,344,54,48,-1,-1,-1
22,1,109,81,23,13,-1,-1,-1
22,2,75,68,20,11,-1,-1,-1
22,384,653,344,54,48,-1,-1,-1
23,1,110,81,23,14,-1,-1,-1
23,2,76,68,20,11,-1,-1,-1
23,3,66,49,17,10,-1,-1,-1
23,384,653,344,54,48,-1,-1,-1
24,1,111,80,25,16,-1,-1,-1
24,3,66,48,17,10,-1,-1,-1
24,384,653,344,54,48,-1,-1,-1
25,1,110,79,27,18,-1,-1,-1
25,3,66,48,17,10,-1,-1,-1
25,384,653,344,54,48,-1,-1,-1
26,1,111,78,29,19,-1,-1,-1
26,3,66,48,17,10,-1,-1,-1
26,384,653,344,54,48,-1,-1,-1
27,1,111,77,31,21,-1,-1,-1
27,3,66,47,17,10,-1,-1,-1
27,384,653,344,54,48,-1,-1,-1
28,1,112,77,33,22,-1,-1,-1
28,3,65,47,17,10,-1,-1,-1
28,384,653,344,54,48,-1,-1,-1
29,1,115,78,33,22,-1,-1,-1
29,3,65,47,17,10,-1,-1,-1
29,384,653,344,54,47,-1,-1,-1
30,1,118,78,34,22,-1,-1,-1
30,3,65,47,18,10,-1,-1,-1
30,384,653,344,54,47,-1,-1,-1
31,1,122,79,33,22,-1,-1,-1
31,384,653,344,54,47,-1,-1,-1
32,1,125,80,33,22,-1,-1,-1
32,384,653,344,54,47,-1,-1,-1
33,1,129,81,32,22,-1,-1,-1
33,384,653,344,54,47,-1,-1,-1
34,1,133,82,32,22,-1,-1,-1
34,384,653,344,54,47,-1,-1,-1
35,1,136,82,32,22,-1,-1,-1
35,384,653,344,54,47,-1,-1,-1
36,1,136,82,32,22,-1,-1,-1
36,384,653,344,54,47,-1,-1,-1
37,384,653,344,54,48,-1,-1,-1
38,5,159,88,32,23,-1,-1,-1
38,384,653,344,54,48,-1,-1,-1
39,5,161,89,34,24,-1,-1,-1
39,384,653,345,54,48,-1,-1,-1
40,5,163,88,35,25,-1,-1,-1
40,6,577,117,145,83,-1,-1,-1
